Unnamed: 0,realSum,room_type,room_private,person_capacity,host_is_superhost,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index_norm,rest_index_norm
976,274.87553467498776,Entire home/apt,False,2.0,False,10.0,97.0,1,4.998814785030647,0.7463395558067139,8.09130630477468,2.0850199915397414
977,266.4609774910596,Entire home/apt,False,2.0,True,10.0,98.0,1,3.434077727395658,0.8481226743556405,5.25127329327912,2.607046471913343
978,122.9460299651731,Entire home/apt,False,3.0,False,9.0,94.0,1,5.382477185130701,0.6220584944584645,5.697460270871599,1.8626809732092755
979,185.58773344552745,Entire home/apt,False,4.0,False,10.0,98.0,2,4.13412147702828,0.9778386041573762,4.100788494604691,1.9887352369756932
980,289.83474744641563,Entire home/apt,False,2.0,True,10.0,100.0,0,2.760127357517502,0.1786307578780204,6.2782307123315295,2.930019502531405
981,289.83474744641563,Entire home/apt,False,2.0,True,10.0,100.0,0,2.7601342323908185,0.1786381715023685,6.278208265660525,2.930010806628613
982,289.83474744641563,Entire home/apt,False,2.0,True,10.0,100.0,0,2.760140059455275,0.1786406903393708,6.278191678361051,2.930004695367268
983,289.83474744641563,Entire home/apt,False,2.0,True,10.0,100.0,0,2.760156647732242,0.1786604372270928,6.278136316243647,2.92998309204195
984,336.34854965757427,Entire home/apt,False,4.0,True,10.0,94.0,1,2.7601359438045314,0.1786400762657014,6.278202639553925,2.930008622103035
985,336.34854965757427,Entire home/apt,False,4.0,True,10.0,97.0,1,2.7601577932044585,0.1786610772179695,6.278132961962847,2.9299818422470234
986,336.34854965757427,Entire home/apt,False,4.0,True,10.0,100.0,1,2.7601308114425382,0.1786430445975304,6.278213890848406,2.930012271250367
987,312.9747797022182,Entire home/apt,False,3.0,False,9.0,95.0,1,4.979051474942281,0.3442528273656584,4.776701915120742,1.9904794526790093
988,189.09379893883084,Entire home/apt,False,5.0,False,8.0,85.0,1,2.3497497050640264,0.2430426258358323,7.859429327775376,3.9897497695058273
989,174.60206156651006,Entire home/apt,False,2.0,False,10.0,92.0,0,3.7687081900528856,0.9381879838249216,6.064811317135932,2.648738048060492
990,113.8302596825842,Private room,True,2.0,False,10.0,96.0,1,3.188571700747924,0.6788312713002812,6.306319127460901,3.0510808506338982
991,440.5955636584625,Entire home/apt,False,4.0,False,10.0,100.0,1,5.690993385925228,2.487876437879506,3.257818825973072,1.6076421045112472
992,215.50615898838325,Entire home/apt,False,2.0,False,9.0,93.0,1,7.052032668631785,1.101550578226036,3.944596605412937,1.3747337017795058
993,243.55468293481056,Entire home/apt,False,4.0,False,8.0,100.0,1,2.599127492872311,0.3239136318609144,8.390079796754682,4.374859946813563
994,83.44435874062128,Private room,True,2.0,False,8.0,89.0,1,8.201750919465331,2.807197418501892,2.4142215184922056,1.0330848032853142
995,220.1809129794545,Private room,True,2.0,False,10.0,100.0,1,3.166028621987858,1.2336346431395706,6.725124097060265,3.039165281494113
996,232.10153565668608,Entire home/apt,False,3.0,False,9.0,94.0,1,6.329719864344552,0.9673551710128984,4.904029561874442,1.5352269842479396
997,289.83474744641563,Entire home/apt,False,4.0,False,9.0,80.0,1,2.5234984898592665,0.193035565562346,6.737197046760533,3.1937644877998177
998,202.6505855129374,Entire home/apt,False,4.0,False,10.0,94.0,1,3.643066549055406,1.0061971413742128,6.087680603415715,2.7309759464312204
999,144.91737372320782,Private room,True,2.0,False,10.0,100.0,1,3.938336603510581,0.704285568125192,5.730618731486941,2.50506766380664
1000,69.65383446696119,Private room,True,2.0,False,9.0,93.0,1,8.503455795928296,0.1170225115152724,3.1421963492369747,1.1395425716624652
1001,202.6505855129374,Entire home/apt,False,4.0,False,10.0,96.0,1,3.641403720202424,0.9915518474615508,6.191448376288646,2.760992208643996
1002,220.1809129794545,Private room,True,4.0,True,10.0,100.0,2,6.600512809106501,1.040809497159699,4.376548440321735,1.4814908877821875
1003,220.1809129794545,Private room,True,5.0,True,8.0,60.0,2,6.4870178025081975,1.0771779065521565,4.454665429301945,1.5089594551603895
1004,92.56012902321017,Private room,True,2.0,False,8.0,86.0,1,3.567087335954332,0.9887130405381924,5.918844347758443,2.74204306355068
1005,174.60206156651006,Entire home/apt,False,2.0,False,10.0,96.0,0,3.722751582491104,0.9949956332401276,6.137247912756926,2.691632818908176
1006,202.6505855129374,Entire home/apt,False,4.0,False,10.0,99.0,1,3.649973704380697,1.0058131361879412,6.127690630920294,2.73347281579586
1007,183.25035644999184,Entire home/apt,False,4.0,False,9.0,83.0,1,2.8854742057153038,0.4095035558396801,6.863949908804473,3.516575042982248
1008,202.88432321249093,Entire home/apt,False,6.0,False,9.0,94.0,1,3.6545920649455215,0.9411100415956924,6.3208746263988616,2.763233713430877
1009,192.59986443213427,Entire home/apt,False,2.0,True,10.0,97.0,1,4.381229682645015,1.0841326470165882,3.978198518239892,2.002595324834629
1010,276.04422317275555,Entire home/apt,False,4.0,False,9.0,91.0,1,3.668723906055116,0.7531028762107923,5.686214216275973,2.493238106262366
1011,478.9285463852465,Entire home/apt,False,4.0,False,10.0,98.0,1,2.6070437600168725,0.1233255369852729,7.184951570864799,3.858340394877856
1012,213.16878199284764,Entire home/apt,False,2.0,False,10.0,94.0,1,2.8455336979460344,0.5746513679673905,7.742683998834056,3.773048534930485
1013,202.6505855129374,Entire home/apt,False,4.0,False,10.0,96.0,1,3.67943393919478,0.9708362955192013,6.047674696860654,2.700781474446289
